# Date, Artifact, Family

NA,oba[.]hopto[.]org,hopto[.]org
NA,obeyice4rm392[.]bounceme[.]net,bounceme[.]net
NA,odi419[.]duckdns[.]org,duckdns[.]org
NA,officewk[.]duckdns[.]org,duckdns[.]org
NA,oluchiiiiiii[.]ddns[.]net,ddns[.]net
NA,omaprilcode[.]duckdns[.]org,duckdns[.]org
NA,omosep6500[.]duckdns[.]org,duckdns[.]org
NA,papacy[.]ddns[.]net,ddns[.]net
NA,papakamzy[.]ddns[.]net,ddns[.]net
NA,parolespotnet[.]ddns[.]net,ddns[.]net
NA,pfgeep[.]ddns[.]net,ddns[.]net
NA,polulerat[.]polulesky[.]xyz,polulesky[.]xyz
NA,praise[.]webhop[.]me,webhop[.]me
NA,purecry54[.]duckdns[.]org,duckdns[.]org
NA,raaqtwo[.]duckdns[.]org,duckdns[.]org
NA,rchickenkillerr[.]ddns[.]net,ddns[.]net
NA,redvelvet[.]ddns[.]net,ddns[.]net
NA,remote1026[.]ddns[.]net,ddns[.]net
NA,renareport[.]duckdns[.]org,duckdns[.]org
NA,rich4eva[.]ddns[.]net,ddns[.]net
NA,richardmills770[.]ddns[.]net,ddns[.]net
NA,rickjohssn[.]ddns[.]net,ddns[.]net
NA,saturdayom[.]duckdns[.]org,duckdns[.]org
NA,servicepoint[.]duckdns[.]org,duckdns[.]org
NA,shopexport20[.]ddns[.]net,ddns[.]net
NA,sicoslanderfamilydog[.]gleeze[.]com,gleeze[.]com
NA,silverstargarage[.]webredirect[.]org,webredirect[.]org
NA,sirohmsgm[.]duckdns[.]org,duckdns[.]org
NA,smookish[.]hopto[.]org,hopto[.]org
NA,sndz2020[.]hopto[.]org,hopto[.]org
NA,softtrim[.]hopto[.]org,hopto[.]org
NA,something4you[.]gotdns[.]ch,gotdns[.]ch
NA,sonspices[.]ddns[.]net,ddns[.]net
NA,sssyh[.]ydns[.]eu,ydns[.]eu
NA,strongest[.]ddns[.]net,ddns[.]net
NA,strongodss[.]ddns[.]net,ddns[.]net
NA,surya[.]ddns[.]net,ddns[.]net
NA,sys2021[.]linkpc[.]net,linkpc[.]net
NA,testalienscy9090[.]duckdns[.]org,duckdns[.]org
NA,thanig[.]ddns[.]net,ddns[.]net
NA,thedog12[.]ddns[.]net,ddns[.]net
NA,timmy13[.]ddns[.]net,ddns[.]net
NA,uzor[.]duckdns[.]org,duckdns[.]org
NA,vijayikohli1[.]bounceme[.]net,bounceme[.]net
NA,vrchat[.]hopto[.]org,hopto[.]org
NA,watermalon1[.]sytes[.]net,sytes[.]net
NA,wazzy13131[.]ddns[.]net,ddns[.]net
NA,wealthgod1234[.]ddns[.]net,ddns[.]net
NA,wealthgod456[.]ddns[.]net,ddns[.]net
NA,williamrippa[.]hopto[.]org,hopto[.]org
NA,windapts[.]ddns[.]net,ddns[.]net
NA,work2020[.]ddns[.]net,ddns[.]net
